base_rtt_ms,jitter_fraction,baseline,seed,median_crossover_mbps
1,0.0,pre_cached,42,0.8817559235862121
1,0.0,pre_cached,43,0.8817559235862121
1,0.0,pre_cached,44,0.8817559235862121
1,0.0,pre_cached,45,0.8817559235862121
1,0.0,pre_cached,46,0.8817559235862121
1,0.0,pre_cached,47,0.8817559235862121
1,0.0,pre_cached,48,0.8817559235862121
1,0.0,pre_cached,49,0.8817559235862121
1,0.0,pre_cached,50,0.8817559235862121
1,0.0,pre_cached,51,0.8817559235862121
1,0.0,full,42,11.444615180316049
1,0.0,full,43,11.444615180316049
1,0.0,full,44,11.444615180316049
1,0.0,full,45,11.444615180316049
1,0.0,full,46,11.444615180316049
1,0.0,full,47,11.444615180316049
1,0.0,full,48,11.444615180316049
1,0.0,full,49,11.444615180316049
1,0.0,full,50,11.444615180316049
1,0.0,full,51,11.444615180316049
1,0.12,pre_cached,42,0.8749230552716877
1,0.12,pre_cached,43,0.8747953354516778
1,0.12,pre_cached,44,0.8749276805224927
1,0.12,pre_cached,45,0.8749040565367538
1,0.12,pre_cached,46,0.8749761957507065
1,0.12,pre_cached,47,0.8744932417887006
1,0.12,pre_cached,48,0.8748530992685405
1,0.12,pre_cached,49,0.8748847363023629
1,0.12,pre_cached,50,0.8747716534141505
1,0.12,pre_cached,51,0.874899510600281
1,0.12,full,42,11.355929018595177
1,0.12,full,43,11.354271298865925
1,0.12,full,44,11.355989051325503
1,0.12,full,45,11.355682427441758
1,0.12,full,46,11.356618747256586
1,0.12,full,47,11.350350320703253
1,0.12,full,48,11.355021035428681
1,0.12,full,49,11.35543166343566
1,0.12,full,50,11.353963921507933
1,0.12,full,51,11.355623424159587
1,0.3,pre_cached,42,0.8648700300545993
1,0.3,pre_cached,43,0.8645580929825194
1,0.3,pre_cached,44,0.8648813290747286
1,0.3,pre_cached,45,0.8648236199346632
1,0.3,pre_cached,46,0.8649998574260882
1,0.3,pre_cached,47,0.8638208060143222
1,0.3,pre_cached,48,0.8646991560935808
1,0.3,pre_cached,49,0.8647764274838621
1,0.3,pre_cached,50,0.8645002677529772
1,0.3,pre_cached,51,0.8648125155437967
1,0.3,full,42,11.225447326405737
1,0.3,full,43,11.221398587230944
1,0.3,full,44,11.22559398029695
1,0.3,full,45,11.224844953403263
1,0.3,full,46,11.227132400774751
1,0.3,full,47,11.211829084602417
1,0.3,full,48,11.223229494150935
1,0.3,full,49,11.224232426257839
1,0.3,full,50,11.220648053571773
1,0.3,full,51,11.224700825672581
20,0.0,pre_cached,42,0.314664247561149
20,0.0,pre_cached,43,0.314664247561149
20,0.0,pre_cached,44,0.314664247561149
20,0.0,pre_cached,45,0.314664247561149
20,0.0,pre_cached,46,0.314664247561149
20,0.0,pre_cached,47,0.314664247561149
20,0.0,pre_cached,48,0.314664247561149
20,0.0,pre_cached,49,0.314664247561149
20,0.0,pre_cached,50,0.314664247561149
20,0.0,pre_cached,51,0.314664247561149
20,0.0,full,42,4.084136128844448
20,0.0,full,43,4.084136128844448
20,0.0,full,44,4.084136128844448
20,0.0,full,45,4.084136128844448
20,0.0,full,46,4.084136128844448
20,0.0,full,47,4.084136128844448
20,0.0,full,48,4.084136128844448
20,0.0,full,49,4.084136128844448
20,0.0,full,50,4.084136128844448
20,0.0,full,51,4.084136128844448
20,0.12,pre_cached,42,0.2980510635193742
20,0.12,pre_cached,43,0.2977548796227759
20,0.12,pre_cached,44,0.2980617989826305
20,0.12,pre_cached,45,0.29800697341854543
20,0.12,pre_cached,46,0.2981744451427506
20,0.12,pre_cached,47,0.29705631528904997
20,0.12,pre_cached,48,0.2978887723806585
20,0.12,pre_cached,49,0.2979621485828461
20,0.12,pre_cached,50,0.29770001578349536
20,0.12,pre_cached,51,0.29799642532263454
20,0.12,full,42,3.868507865748022
